"Time","T0104","","T0104","","T0104","","T0104","","T0104","","T0104","","T0104",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 16/11/2009,         0.0,      1,         2.0,      1,        99.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 17/11/2009,         0.0,      1,         1.4,      1,        92.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 18/11/2009,         0.0,      1,         3.4,      1,        81.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 19/11/2009,         0.0,      1,         5.3,      1,        36.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 20/11/2009,         0.0,      1,         7.8,      1,        33.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 21/11/2009,         0.0,      1,         6.5,      1,        23.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 22/11/2009,         0.0,      1,         2.7,      1,        63.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 23/11/2009,         0.0,      1,         1.0,      1,        78.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 24/11/2009,         0.0,      1,         2.0,      1,        62.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 25/11/2009,         0.0,      1,         3.7,      1,        51.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 26/11/2009,         0.0,      1,         0.0,      1,        97.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 27/11/2009,         0.0,      1,        -0.2,      1,        93.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 28/11/2009,         0.0,      1,        -2.2,      1,        83.1,      1,"",    151,"",    151,"",    255,"",    255
